省份,城市,区域,院校名称,建校时间,隶属于,国家重点学科,硕士点,博士点,重点实验室,占地面积(亩),院校类型,办学类型,办学性质,电子邮箱,地址,官方网址,官方电话,中文文献数,985工程,211工程,双一流,强基
安徽,合肥市,蜀山区,安徽农业大学,1928,安徽省,1,17,8,1,3150,农林类,普通本科,公办,zsb@ahau.edu.cn,安徽省合肥市长江西路130号,http://www.ahau.edu.cn,"0551-65786603,0551-65786135",138,,,,
上海,上海市,杨浦区,同济大学,1907,教育部,18,45,33,18,3825,综合类,普通本科,公办,tjzsb@tongji.edu.cn,上海市四平路1239号,http://www.tongji.edu.cn,"021-65982643,021-65981513",456,是,是,是,是
上海,上海市,宝山区,上海大学,1922,上海市,8,43,24,1,3000,综合类,普通本科,公办,info@shu.edu.cn,宝山校区：上海市宝山区上大路99号;延长校区：上海市静安区延长路149号,http://www.shu.edu.cn/,021-66134148,321,,是,是,
安徽,合肥市,蜀山区,安徽大学,1928,安徽省,4,32,15,2,3200,综合类,普通本科,公办,zsb@ahu.edu.cn,合肥市经济技术开发区九龙路111号;合肥市蜀山区肥西路3号,http://www.ahu.edu.cn/,"0551-63861666,0551-63861777",266,,是,是,
安徽,合肥市,蜀山区,安徽医科大学,1926,安徽省,1,13,4,4,2086,医药类,普通本科,公办,ahmuzsb@ahmu.edu.cn,梅山路校区：安徽省合肥市梅山路81号;翡翠路校区：安徽省合肥市经济开发区翡翠路15号,http://www.ahmu.edu.cn/,0551-65167746,114,,,,
江苏,无锡市,滨湖区,江南大学,1902,教育部,2,29,7,3,3250,综合类,普通本科,公办,zhshb@jiangnan.edu.cn,江苏省无锡市蠡湖大道1800号,https://www.jiangnan.edu.cn/,0510-85915666,399,,是,是,
安徽,合肥市,庐阳区,合肥工业大学,1945,教育部,6,38,16,2,5000,理工类,普通本科,公办,hfutzb@hfut.edu.cn,安徽省合肥市屯溪路193号,http://www.hfut.edu.cn/,"0551-62902397,0551-62902327",231,,是,是,
安徽,合肥市,包河区,中国科学技术大学,1958,中国科学院,18,7,28,5,2175,理工类,普通本科,公办,zsb@ustc.edu.cn,安徽省合肥市金寨路96号,https://www.ustc.edu.cn/,"0551-63602553,0551-63602563",407,是,是,是,是
安徽,马鞍山市,雨山区,安徽工业大学,1958,安徽省,0,17,2,0,2550,理工类,普通本科,公办,agdzsb@ahut.edu.cn,佳山校区：安徽省马鞍山市花山区湖东路59号;秀山校区：安徽省马鞍山市马向路新城东区,http://www.ahut.edu.cn/,"0555-2315270,0555-2315272,0555-2315351",82,,,,
安徽,淮南市,山南新区,安徽理工大学,1945,安徽省,0,21,6,0,3200,理工类,普通本科,公办,webmaster@aust.edu.cn,安徽省淮南市泰丰大街168号,http://www.aust.edu.cn/,"0554-6668487,0554-6632810",169,,,,
江苏,南京市,秦淮区,南京航空航天大学,1952,工业和信息化部,6,33,17,4,2077,理工类,普通本科,公办,zsb@nuaa.edu.cn,明故宫校区：江苏省南京市秦淮区御道街29号;将军路校区：南京市江宁区将军大道29号,http://www.nuaa.edu.cn/,025-84892899,302,,是,是,
上海,上海市,黄浦区,上海交通大学医学院,1896,教育部,0,56,6,0,0,医药类,普通本科,公办,zsb@sjtu.edu.cn,上海市重庆南路227号,https://www.shsmu.edu.cn/,021-63846590-776118,107,,,,
江苏,南京市,玄武区,东南大学,1902,教育部,15,48,34,3,5888,综合类,普通本科,公办,zhaoban@seu.edu.cn,南京市江宁区东南大学路2号,http://www.seu.edu.cn/,"400-6910286,025-52090271",348,是,是,是,是
江苏,南京市,鼓楼区,南京大学,1902,教育部,36,4,40,20,5532,综合类,普通本科,公办,bkzs@nju.edu.cn,仙林校区地址：江苏省南京市仙林大道163号;鼓楼校区地址：江苏省南京市汉口路22号,https://www.nju.edu.cn/,400-185-9680,367,是,是,是,是
江苏,南京市,玄武区,南京理工大学,1953,工业和信息化部,9,17,18,1,4315,理工类,普通本科,公办,,江苏省南京市孝陵卫200号,http://www.njust.edu.cn/,"400-110-2882,025-84432546",307,,是,是,
江苏,南京市,栖霞区,南京师范大学,1902,江苏省,14,40,25,2,3269,师范类,普通本科,公办,,南京市栖霞区文苑路1号,http://www.njnu.edu.cn/,025-83720759,317,,是,是,
浙江,杭州市,西湖区,浙江大学,1897,教育部,56,62,59,28,9335,综合类,普通本科,公办,zsc@zju.edu.cn,浙江省杭州市西湖区余杭塘路388号,http://www.zju.edu.cn/,"0571-87951006,0571-88981979",437,是,是,是,是
江苏,南京市,鼓楼区,中国药科大学,1936,教育部,1,7,3,1,2100,医药类,普通本科,公办,zhaoban@cpu.edu.cn,江苏省南京市鼓楼区中央路童家巷24号（玄武门校区）;江苏省南京市江宁区龙眠大道639号（江宁校区）,http://www.cpu.edu.cn/,"025-83271319,025-83271422",140,,是,是,
江苏,南京市,江宁区,河海大学,1915,教育部,6,37,16,2,2462,理工类,普通本科,公办,2028286983@qq.com,江苏省南京市鼓楼区西康路1号;江苏省南京市江宁区佛城西路8号,http://www.hhu.edu.cn/,"025-58099483,025-58099489",287,,是,是,
江苏,南京市,玄武区,南京农业大学,1902,教育部,8,30,17,1,13500,农林类,普通本科,公办,zsb@njau.edu.cn,江苏省南京市玄武区卫岗1号,http://www.njau.edu.cn/,"400-112-0200,025-84399789,025-84396458",245,,是,是,
上海,上海市,闵行区,上海交通大学,1896,教育部,33,57,45,22,4500,综合类,普通本科,公办,zsb@sjtu.edu.cn,上海市东川路800号,https://www.sjtu.edu.cn/,"021-34200000,021-34207255",513,是,是,是,是
江苏,徐州市,铜山区,中国矿业大学,1909,教育部,10,33,17,6,4413,综合类,普通本科,公办,zsb@cumt.edu.cn,江苏省徐州市大学路1号,http://www.cumt.edu.cn/,"0516-83591555,0516-83591666",1823,,是,是,
