科研机构名称,研究领域,省,市,县/区,中文文献数
江苏省环境科学研究院,环境科学,江苏省,南京市,鼓楼区,29
江苏省测绘研究所,测绘,江苏省,南京市,鼓楼区,16
江苏省疾病预防控制中心（江苏省公共卫生研究院）,疾病预防,江苏省,南京市,鼓楼区,2
江苏省老年医学研究所,老年医学,江苏省,南京市,鼓楼区,0
江苏省计划生育科学技术研究所,计划生育,江苏省,南京市,鼓楼区,1
江苏省高新技术创业服务中心,高新技术,江苏省,南京市,鼓楼区,14
江苏省印刷科学技术研究所,印刷科学技术,江苏省,南京市,鼓楼区,2
江苏省公安科学技术研究所,公安科学技术,江苏省,南京市,鼓楼区,1
江苏省宏图电子综合研究所有限公司,电子综合研究,江苏省,南京市,鼓楼区,0
江苏省化工信息中心有限公司,化工信息,江苏省,南京市,鼓楼区,0
江苏省建筑材料研究设计院有限公司,建筑材料,江苏省,南京市,鼓楼区,6
江苏省建筑科学研究院有限公司,建筑科学,江苏省,南京市,鼓楼区,22
江苏省药物研究所有限公司,药物,江苏省,南京市,鼓楼区,4
江苏省淡水水产研究所,淡水水产,江苏省,南京市,建邺区,54
江苏省水利科学研究院,水利,江苏省,南京市,建邺区,46
江苏省环境监测中心,环境监测,江苏省,南京市,建邺区,39
江苏省食品药品监督检验研究院,食品药品监督检验,江苏省,南京市,建邺区,37
江苏省检验检疫科学技术研究院,检疫科学技术,江苏省,南京市,建邺区,4
苏交科集团股份有限公司,工程施工设计,江苏省,南京市,建邺区,250
江苏省粮食科学研究设计院有限公司,粮食科学,江苏省,南京市,建邺区,0
江苏省轻工业科学研究设计院有限公司,轻工业,江苏省,南京市,建邺区,0
江苏省中医临床研究院,中医,江苏省,南京市,秦淮区,0
江苏省临床医学研究院,临床医学,江苏省,南京市,秦淮区,0
江苏省产品质量监督检验研究院,产品质量监督,江苏省,南京市,秦淮区,31
江苏省质量和标准化研究院,质量和标准化,江苏省,南京市,秦淮区,23
江苏省广播电视科学研究所有限公司,广播电视科学,江苏省,南京市,秦淮区,0
江苏省中国科学院植物研究所,植物,江苏省,南京市,玄武区,80
江苏省地震工程研究院,地震工程,江苏省,南京市,玄武区,0
江苏省地质调查研究院,地质,江苏省,南京市,玄武区,61
江苏省气象科学研究所(南京交通气象研究所）,气象科学,江苏省,南京市,玄武区,23
江苏省肿瘤防治研究所(江苏省肿瘤医院),肿瘤防治,江苏省,南京市,玄武区,32
江苏省安全生产科学研究院,安全生产,江苏省,南京市,玄武区,9
江苏省生产力促进中心,生产力促进,江苏省,南京市,玄武区,52
江苏省科学技术情报研究所,科学技术情报,江苏省,南京市,玄武区,38
中国科学院国家天文台南京天文光学技术研究所,天文光学技术,江苏省,南京市,玄武区,23
中国科学院南京地理与湖泊研究所,地理与湖泊,江苏省,南京市,玄武区,87
南京博物院,历史文物,江苏省,南京市,玄武区,90
江苏省农业机械研究所有限公司,农业机械,江苏省,南京市,玄武区,0
江苏省医药工业研究所有限公司,医药,江苏省,南京市,玄武区,0
江苏省农业科学院,农业,江苏省,南京市,玄武区,72
江苏省化工机械研究所有限责任公司,化工机械研究,江苏省,南京市,雨花台区,0
江苏省机械研究设计院有限责任公司,机械研究,江苏省,南京市,雨花台区,0
中博信息技术研究院有限公司,信息技术,江苏省,南京市,雨花台区,16
江苏省林业科学研究院,林业,江苏省,南京市,江宁区,38
江苏省医学生物制品研究所,医学生物制品,江苏省,南京市,江宁区,0
江苏省未来网络创新研究院,未来网络创新,江苏省,南京市,江宁区,4
江苏省计算技术研究所有限责任公司,计算技术,江苏省,南京市,江宁区,0
中石化南京化工研究院有限公司,化工,江苏省,南京市,六合区,31
江苏省冶金研究所有限公司,冶金,江苏省,南京市,六合区,0
江苏丘陵地区南京市农业科学研究所,农业,江苏省,南京市,栖霞区,0
江苏省中医药研究院,中医药,江苏省,南京市,栖霞区,51
江苏省体育科学研究所,体育科学,江苏省,南京市,栖霞区,19
中国科学院紫金山天文台,天文,江苏省,南京市,栖霞区,40
江苏省计量科学研究院,计量科学,江苏省,南京市,栖霞区,34
江苏省化工研究所有限公司,化工研究,江苏省,南京市,栖霞区,0
江苏省农药研究所股份有限公司,农药研究,江苏省,南京市,栖霞区,4
江苏省原子医学研究所,原子医学,江苏省,无锡市,滨湖区,3
江苏省血吸虫病防治研究所,血吸虫病防治,江苏省,无锡市,滨湖区,13
江苏省电子信息产品质量监督检验研究院（江苏省信息安全测评中心）,电子信息产品质量监督,江苏省,无锡市,滨湖区,6
江苏省微生物研究所有限责任公司,微生物,江苏省,无锡市,滨湖区,0
江苏省纺织研究所股份有限公司,纺织研究,江苏省,无锡市,梁溪区,2
江苏物联网研究发展中心,物联网,江苏省,无锡市,新吴区,3
江苏省陶瓷研究所有限公司,陶瓷,江苏省,无锡市,宜兴市,7
江苏中科院智能科学技术应用研究院,智能科学技术应用,江苏省,常州市,武进区,3
江苏徐淮地区淮阴农业科学研究所,农业,江苏省,淮安市,清江浦区,38
江苏中国科学院能源动力研究中心,能源动力,江苏省,连云港市,连云区,3
连云港市农业科学院,农业,江苏省,连云港市,海州区,30
江苏沿江地区农业科学研究所,农业,江苏省,南通市,如皋市,25
江苏省海洋水产研究所,海洋水产,江苏省,南通市,崇川区,41
江苏省血液研究所,血液,江苏省,苏州市,玄武区,6
中国科学院苏州纳米技术与纳米仿生研究所,纳米技术与纳米仿生,江苏省,苏州市,苏州工业园区,34
中国科学院苏州生物医学工程技术研究所,生物医学工程,江苏省,苏州市,虎丘区,44
苏州市农业科学院（江苏太湖地区农业科学研究所）,农业,江苏省,苏州市,吴中区,3
江苏省农业科学院泰州农科所,农业,江苏省,泰州市,海陵区,24
江苏省农业科学院宿迁农科所,农业,江苏省,宿迁市,宿豫区,25
江苏徐淮地区徐州农业科学研究所,农业,江苏省,徐州市,铜山区,54
江苏省机电研究所有限公司,机电研究,江苏省,徐州市,贾汪区,0
江苏省煤矿研究所有限公司,煤矿,江苏省,徐州市,玄武区,0
江苏沿海地区农业科学研究所,农业,江苏省,盐城市,亭湖区,57
江苏沿海地区农业科学研究所新洋试验站,农业,江苏省,盐城市,亭湖区,4
江苏里下河地区农业科学研究所,农业,江苏省,扬州市,邗江区,60
江苏省家禽科学研究所,家禽,江苏省,扬州市,邗江区,53
江苏丘陵地区镇江农业科学研究所,农业,江苏省,镇江市,句容市,37
江苏省船舶设计研究所有限公司,船舶设计,江苏省,镇江市,京口区,2
上海生物制品研究所有限责任公司,生物制品,上海市,上海市,奉贤区,8
中国科学院上海技术物理研究所,技术物理,上海市,上海市,虹口区,75
上海材料研究所,材料研究,上海市,上海市,虹口区,31
中国科学院上海应用物理研究所,应用物理,上海市,上海市,嘉定区,114
中国电子科技集团公司第三十二研究所,电子科技,上海市,上海市,嘉定区,36
中国科学院上海硅酸盐研究所,硅酸盐,上海市,上海市,嘉定区,52
中国科学院上海光学精密机械研究所,光学精密机械,上海市,上海市,嘉定区,38
上海船用柴油机研究所（中国船舶重工集团公司第七一一研究所）,船用柴油机,上海市,上海市,闵行区,37
中国航空无线电电子研究所,航空无线电,上海市,上海市,闵行区,73
中国科学院上海药物研究所,药物研究,上海市,上海市,浦东新区,56
上海市计量测试技术研究院,计量测试技术,上海市,上海市,浦东新区,120
复旦大学人类表型组研究院,人类表型组,上海市,上海市,浦东新区,16
中国科学院上海药物研究所,药物研究,上海市,上海市,浦东新区,56
中国科学院上海高等研究院,空间科技、交叉前沿与先进制造、信息科学与技术、能源与环境、健康科学与技术,上海市,上海市,浦东新区,96
中国科学院上海微小卫星创新研究院,微小卫星创新,上海市,上海市,浦东新区,0
中国商飞上海飞机设计研究院,飞机设计,上海市,上海市,浦东新区,33
中国科学技术大学上海研究院,量子工程,上海市,上海市,浦东新区,0
上海电器科学研究所（集团）有限公司,电器科学,上海市,上海市,普陀区,37
中国电子科技集团公司第五十研究所,电子科技,上海市,上海市,普陀区,11
中国科学院上海脑科学与智能技术卓越创新中心（神经科学研究所）,脑科学与智能技术,上海市,上海市,松江区,0
中国科学院上海生命科学研究院,生命科学,上海市,上海市,徐汇区,2
中国科学院上海有机化学研究所,有机化学,上海市,上海市,徐汇区,11
中国科学院上海营养与健康研究所,营养与健康,上海市,上海市,徐汇区,16
中国科学院上海分子细胞科学卓越创新中心（生物化学与细胞生物学研究所）,分子细胞科学,上海市,上海市,徐汇区,0
中国科学院上海分子植物科学卓越创新中心（植物生理生态研究所）,生态研究,上海市,上海市,徐汇区,0
中国科学院上海天文台,天文,上海市,上海市,徐汇区,77
中国科学院上海巴斯德研究所,病原微生物基本生命活动规律、重大传染性疾病的致病机制,上海市,上海市,徐汇区,2
电信科学技术第一研究所有限公司,电信科学技术,上海市,上海市,徐汇区,10
中国科学院上海微系统与信息技术研究所,微系统与信息技术,上海市,上海市,长宁区,51
浙江省公共卫生研究院,医药卫生,浙江省,杭州市,滨江区,0
浙江舞台设计研究院有限公司,建筑安装,浙江省,杭州市,滨江区,0
浙江省食品药品检验研究院,医药,浙江省,杭州市,滨江区,48
浙江大立科技股份有限公司,电子信息,浙江省,杭州市,滨江区,2
浙江省机电设计研究院有限公司,机械,浙江省,杭州市,滨江区,16
国网浙江新兴科技有限公司,新兴科技,浙江省,杭州市,滨江区,0
浙江大学滨江研究院,信息和生命健康,浙江省,杭州市,滨江区,1
中国电子科技集团公司第五十二研究所,电子科技,浙江省,杭州市,滨江区,11
中国林业科学研究院亚热带林业研究所,林业,浙江省,杭州市,富阳区,103
浙江省科技人才教育中心,教育、培训、考试,浙江省,杭州市,拱墅区,0
浙江省电信科学技术研究所,通信行业,浙江省,杭州市,拱墅区,0
轻工业自动化研究所,轻工业,浙江省,杭州市,拱墅区,0
浙江省计算技术研究所(浙江天正信息科技有限公司),电子信息技术,浙江省,杭州市,拱墅区,0
浙江体育科学研究所,体育,浙江省,杭州市,拱墅区,3
杭州市化工研究院有限公司,精细化工,浙江省,杭州市,拱墅区,1
浙江省建筑科学设计研究院有限公司,建筑业,浙江省,杭州市,拱墅区,11
中国水稻研究所,农业,浙江省,杭州市,拱墅区,72
浙江竞天智能技术研究所,电子,浙江省,杭州市,拱墅区,0
中华全国供销合作总社杭州茶叶研究院,农业,浙江省,杭州市,江干区,22
浙江省气象科学研究所,气象,浙江省,杭州市,江干区,12
浙江省水利河口研究院,水利,浙江省,杭州市,江干区,82
浙江省特种设备检验研究院,特种设备检验检测,浙江省,杭州市,江干区,1
浙江省计量科学研究院,计量,浙江省,杭州市,江干区,45
浙江丝绸科技有限公司（浙江丝绸科学研究院）,纺织,浙江省,杭州市,临安区,0
浙江省交通运输科学研究院,交通运输,浙江省,杭州市,临安区,40
浙江大学高端装备研究院,高端装备,浙江省,杭州市,临平区,0
浙江省医疗器械检验院,医疗器械,浙江省,杭州市,钱塘区,0
浙江省医疗器械研究所,医疗器械,浙江省,杭州市,钱塘区,0
中国药科大学（杭州）创新药物研究院,药物,浙江省,杭州市,钱塘区,2
杭州三花研究院有限公司,新能源、清洁技术,浙江省,杭州市,钱塘区,0
浙江省科技信息研究院,科技信息,浙江省,杭州市,上城区,23
浙江省文物考古研究所,文化,浙江省,杭州市,上城区,19
浙江省机械工业情报研究所,机械,浙江省,杭州市,上城区,0
浙江威星智能计量仪表研究所,电子信息,浙江省,杭州市,上城区,0
浙江纺织服装科技有限公司,纺织,浙江省,杭州市,上城区,0
浙江省广播电视科学研究所,广播电视,浙江省,杭州市,上城区,0
浙江赞宇科技股份有限公司（浙江省轻工业研究所）,轻工,浙江省,杭州市,上城区,0
浙江省农业科学院,农业科研,浙江省,杭州市,上城区,61
浙江省科技发展战略研究院,科技发展,浙江省,杭州市,西湖区,0
浙江省冶金研究院有限公司,制造业,浙江省,杭州市,西湖区,3
浙江省环境保护科学设计研究院,环保,浙江省,杭州市,西湖区,4
杭州国电能源环境设计研究院有限公司,建筑节能,浙江省,杭州市,西湖区,0
浙江天科高新技术发展有限公司,科学研究、技术服务、基因测序,浙江省,杭州市,西湖区,1
浙江省医学科学院,医学科学研究和科技服务,浙江省,杭州市,西湖区,21
水利部产品质量标准研究所（水利部杭州机械设计研究所）,水利行业,浙江省,杭州市,西湖区,1
浙江省中医药研究院,医药卫生,浙江省,杭州市,西湖区,24
浙江省工艺美术研究所有限公司,其他服务业,浙江省,杭州市,西湖区,0
浙江省电子技术研究所,电子、通讯,浙江省,杭州市,西湖区,0
浙江省电子信息产品检验所,电子信息,浙江省,杭州市,西湖区,0
杭州自动化技术研究院有限公司,高新技术,浙江省,杭州市,西湖区,0
浙江省标准化研究院,科学研究和综合技术服务业,浙江省,杭州市,西湖区,20
浙江省安全生产科学研究院,安全生产,浙江省,杭州市,西湖区,0
华电电力科学研究院,电力,浙江省,杭州市,西湖区,5
浙江省中药研究所有限公司,医药,浙江省,杭州市,西湖区,16
中国农业科学院茶叶研究所,农业,浙江省,杭州市,西湖区,89
中国石油杭州地质研究院,科学研究和技术服务业,浙江省,杭州市,西湖区,84
水利部农村电气化研究所,水利、电力,浙江省,杭州市,西湖区,17
浙江省化工研究院,化工,浙江省,杭州市,西湖区,1
浙江省家具与五金研究所,科学研究和综合技术服务业,浙江省,杭州市,西湖区,0
中国船舶重工集团公司第七一五研究所,机械,浙江省,杭州市,西湖区,24
杭州水处理技术研究开发中心有限公司,环保,浙江省,杭州市,西湖区,9
浙江省粮食科学研究所有限责任公司,农业,浙江省,杭州市,西湖区,4
浙江省能源与核技术应用研究院,科学研究,浙江省,杭州市,西湖区,0
浙江省地质矿产研究所,地质勘查业,浙江省,杭州市,西湖区,7
国家林业局竹子研究开发中心,林业,浙江省,杭州市,西湖区,0
国家海洋局第二海洋研究所,科学研究与技术服务,浙江省,杭州市,西湖区,1
杭州照相机械研究所,光学仪器制造,浙江省,杭州市,西湖区,0
浙江省林业科学研究院,农林牧渔,浙江省,杭州市,西湖区,71
中国空间技术研究院杭州中心,空间技术,浙江省,杭州市,西湖区,0
中国电建集团华东勘测设计研究院有限公司,水力发电,浙江省,杭州市,下城区,534
煤科集团杭州环保研究院有限公司,煤炭,浙江省,杭州市,萧山区,7
浙江省检验检疫科学技术研究院,检验检测,浙江省,杭州市,萧山区,24
浙江省造纸研究所（浙江省普瑞科技有限公司）,轻工,浙江省,杭州市,萧山区,0
西安电子科技大学杭州研究院,电子科技,浙江省,杭州市,萧山区,0
浙江省长三角生物医药产业技术研究园,生物医药,浙江省,杭州市,萧山区,0
浙江省质量检测科学研究院,服务业,浙江省,杭州市,余杭区,0
浙江省建筑材料科学研究所有限公司,建材,浙江省,杭州市,余杭区,2
轻工业杭州机电设计研究院,轻工业,浙江省,杭州市,余杭区,0
浙江大学先进电气装备创新中心,先进电气装备,浙江省,杭州市,余杭区,0
浙江华电器材检测研究院有限公司,电器材检测,浙江省,杭州市,余杭区,4
浙江省淡水水产研究所,渔业,浙江省,湖州市,吴兴区,25
哈工大机器人湖州国际创新研究院,机器人,浙江省,湖州市,吴兴区,0
中科卫星应用德清研究院,卫星应用,浙江省,湖州市,德清县,1
嘉兴学院G60科创走廊产业与创新研究院,科创产业,浙江省,嘉兴市,南湖区,0
浙江中科院应用技术研究院,应用技术,浙江省,嘉兴市,南湖区,1
浙江清华长三角研究院,信息，生物医药，环境，先进制造，海洋，农业,浙江省,嘉兴市,南湖区,32
浙江桐昆新材料研究院有限公司,新材料,浙江省,嘉兴市,桐乡市,2
乌镇实验室,新材料,浙江省,嘉兴市,桐乡市,0
复旦大学义乌研究院,新材料新器件新装备高精尖缺制造中心,浙江省,金华市,义乌市,5
北京航空航天大学宁波创新研究院,航空航天,浙江省,宁波市,北仑区,14
宁波（北仑）中科海西产业技术创新中心,环境科学,浙江省,宁波市,北仑区,0
宁波杭州湾新材料研究院,新材料,浙江省,宁波市,慈溪市,0
大连理工大学宁波研究院,高端装备制造、绿色精细化工与生物医药、软件与新一代信息技术、新材料、重大基础设施建设技术,浙江省,宁波市,江北区,17
中国科学院宁波材料技术与工程研究所,材料,浙江省,宁波市,镇海区,107
