省份,城市,区域,院校名称,建校时间,隶属于,国家重点学科,硕士点,博士点,重点实验室,占地面积(亩),院校类型,办学类型,办学性质,电子邮箱,地址,官方网址,官方电话,中文文献数
安徽,马鞍山市,雨山区,马鞍山职业技术学院,1984,安徽省,0,0,0,0,596,理工类,专科（高职）,公办,zsb@mastc.edu.cn,安徽省马鞍山市霍里山中路328号,http://www.mastc.edu.cn/,"0555-2753032,0555-2753322",37
安徽,蚌埠市,龙子湖区,安徽电子信息职业技术学院,2001,安徽省,0,0,0,0,849,理工类,专科（高职）,公办,ahdzzjb@sina.com,安徽省蚌埠市大学园区曹山路1000号,http://www.ahdy.edu.cn/,"0552-3172929,0552-3172909",32
安徽,合肥市,合肥高新技术产业开发区,民办万博科技职业学院,2000,安徽省教育厅,0,0,0,0,800,综合类,专科（高职）,民办,wbc@wbc.edu.cn,合肥市高新技术产业开发区创业西路1号,http://www.wbc.edu.cn,"0551-65316726,0551-65334292",0
安徽,合肥市,庐阳区,民办合肥经济技术职业学院,2001,安徽省教育厅,0,0,0,0,189,综合类,专科（高职）,民办,hfjjxy@163.com,合肥市环湖东路中段360号,http://www.hfet.com,"0551-65630870,0551-65630887",0
安徽,合肥市,合肥经济技术开发区,民办合肥财经职业学院,2006,安徽省教育厅,0,0,0,0,841,财经类,专科（高职）,民办,736905799@qq.com,合肥经济技术开发区大学城汤口路中段（方兴校区）,http://www.hffe.cn,"0551-63690830,0551-63690801",0
安徽,阜阳市,颍州区,阜阳科技职业学院,1984,安徽省教育厅,0,0,0,0,300,理工类,专科（高职）,民办,573975966@qq.com,安徽省阜阳市清河西路99号,http://www.fky.net.cn/,"0558-2567108,0558-2567219",0
安徽,淮南市,寿县,安徽现代信息工程职业学院,2008,安徽省教育厅,0,0,0,0,528,理工类,专科（高职）,民办,ahmiec@163.com,安徽省淮南市寿县通淝路,http://www.ahmodern.cn,"0554-4108666,0554-4108111",0
安徽,阜阳市,颍上县,民办安徽旅游职业学院,2007,安徽省教育厅,0,0,0,0,300,语言类,专科（高职）,民办,wangjue@tangedu.cn,安徽省颍上县城南新区南纬三路南侧,,"0558-4410055,0558-4429595",0
安徽,合肥市,合肥经济技术开发区,民办合肥滨湖职业技术学院,2002,安徽省教育厅,0,0,0,0,428,理工类,专科（高职）,民办,353712009@qq.com,合肥经济技术开发区方兴大道559号,http://www.hfbhxy.com,"0551-63825319,0551-63825276",0
江苏,扬州市,广陵区,扬州市职业大学（扬州市广播电视大学）,1984,江苏省,0,0,0,0,1100,理工类,专科（高职）,公办,zsb@mail.yzpc.edu.cn,江苏省扬州市文昌西路458号,http://www.yzpc.edu.cn/,"0514-87697000,0514-87697010,0514-87697009",0
安徽,合肥市,蜀山区,中国政法大学司法考试学院,2000,中国政法大学,0,0,0,0,0,政法类,普通本科,公办,fdsk2013@126.com,北京市昌平区府学路27号,http://www.fdpx.com,"010-58908130,31,18611002036",0
浙江,杭州市,拱墅区,浙江电力职业技术学院,1979,浙江电力公司,0,0,0,0,111,其他,专科（高职）,公办,,浙江省杭州市拱宸桥舟山东路91号,,,0
安徽,黄山市,休宁县,黄山健康职业学院,2020,,0,0,0,0,300,医药类,专科（高职）,民办,,安徽省黄山市滨江东路55号,https://www.hsvch.cn/,"0559-7711111,0559-2177777,0559-7855888",0
